id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
structure_containment:growing_rack_stack,structure_containment,Growing Structure And Containment,growing_rack_stack,Growing rack stack,review,yes,5,2,3,1,0,0,0,2,2,0,0,3,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): tray_support, service_access. 2 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
structure_containment:crop_tray_carriers,structure_containment,Growing Structure And Containment,crop_tray_carriers,Crop tray carriers,review,yes,5,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): tray_support, nutrient_loop. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:enclosure_panels,structure_containment,Growing Structure And Containment,enclosure_panels,Enclosure panels,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): washdown_boundary, airflow. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
environmental_interface:horticultural_lighting,environmental_interface,Light Climate And Gas Environment,horticultural_lighting,Horticultural lighting,review,yes,5,3,3,1,0,0,0,3,2,0,0,3,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): lighting_control, mains_supply, service_access. 2 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
environmental_interface:canopy_air_mixing,environmental_interface,Light Climate And Gas Environment,canopy_air_mixing,Canopy air mixing,review,yes,4,2,0,1,0,1,0,1,3,0,0,3,0,0,1,0.6667,,Review 1 local-only interface declaration(s): airflow. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
environmental_interface:humidity_temperature_control,environmental_interface,Light Climate And Gas Environment,humidity_temperature_control,Humidity and temperature control,review,yes,5,3,0,0,0,2,0,1,4,0,0,3,0,0,0,0.6667,,Review 1 local-only interface declaration(s): airflow. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
environmental_interface:co2_enrichment,environmental_interface,Light Climate And Gas Environment,co2_enrichment,CO2 enrichment,review,yes,5,3,0,1,0,2,0,1,4,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): airflow. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
mass_fluid_transport_process:reservoir_plumbing,mass_fluid_transport_process,Nutrient And Water Transport Process,reservoir_plumbing,Reservoir and plumbing,review,yes,5,2,0,1,0,0,0,2,2,0,0,2,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): nutrient_loop, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
mass_fluid_transport_process:fertigation_pumping,mass_fluid_transport_process,Nutrient And Water Transport Process,fertigation_pumping,Fertigation pumping,review,yes,5,3,0,1,0,2,0,1,4,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): nutrient_loop. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
mass_fluid_transport_process:nutrient_dosing,mass_fluid_transport_process,Nutrient And Water Transport Process,nutrient_dosing,Nutrient dosing,review,yes,5,3,0,0,0,2,0,1,4,0,0,3,0,0,0,0.6667,,Review 1 local-only interface declaration(s): nutrient_loop. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
mass_fluid_transport_process:filtration_sanitation,mass_fluid_transport_process,Nutrient And Water Transport Process,filtration_sanitation,Filtration and sanitation,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): nutrient_loop, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
sensing_instrumentation:climate_sensors,sensing_instrumentation,Crop And Process Instrumentation,climate_sensors,Climate sensors,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, airflow. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
sensing_instrumentation:nutrient_sensors,sensing_instrumentation,Crop And Process Instrumentation,nutrient_sensors,Nutrient sensors,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, nutrient_loop. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
sensing_instrumentation:crop_observation,sensing_instrumentation,Crop And Process Instrumentation,crop_observation,Crop observation,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): video_link, sensor_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
control_compute_communication:environmental_controller,control_compute_communication,Recipe Control And Communications,environmental_controller,Environmental controller,review,yes,5,3,0,1,0,2,0,2,4,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, lighting_control. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
control_compute_communication:recipe_management,control_compute_communication,Recipe Control And Communications,recipe_management,Recipe management,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): operator_network, lighting_control. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
control_compute_communication:remote_monitoring,control_compute_communication,Recipe Control And Communications,remote_monitoring,Remote monitoring,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): operator_network, video_link. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:mains_panel,power_distribution,Wet-Zone Power Distribution,mains_panel,Mains isolation panel,review,yes,5,3,0,1,0,0,0,3,2,0,0,2,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): mains_supply, protective_earth, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
power_distribution:lighting_power,power_distribution,Wet-Zone Power Distribution,lighting_power,Lighting power distribution,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): mains_supply, lighting_control. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:low_voltage_power,power_distribution,Wet-Zone Power Distribution,low_voltage_power,Low-voltage control power,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): actuator_bus, sensor_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
