activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:energy_conversion_transduction,Review Refrigerant Energy Conversion architecture allocation,design_review,ready_for_review,pending,energy_conversion_transduction,Refrigerant Energy Conversion,,,,,Collect reviewer evidence through the verification intake template.
calculation:energy_conversion_transduction,Verify Refrigerant Energy Conversion requirement calculations,calculation,ready_for_review,pending,energy_conversion_transduction,Refrigerant Energy Conversion,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:energy_conversion_transduction,Collect source-backed evidence for Refrigerant Energy Conversion critical components,source_evidence,blocked,source_evidence_required,energy_conversion_transduction,Refrigerant Energy Conversion,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:environmental_interface,Review Outdoor Air Interface architecture allocation,design_review,ready_for_review,pending,environmental_interface,Outdoor Air Interface,,,,,Collect reviewer evidence through the verification intake template.
calculation:environmental_interface,Verify Outdoor Air Interface requirement calculations,calculation,ready_for_review,pending,environmental_interface,Outdoor Air Interface,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:environmental_interface,Collect source-backed evidence for Outdoor Air Interface critical components,source_evidence,blocked,source_evidence_required,environmental_interface,Outdoor Air Interface,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:mass_fluid_transport_process,Review Hydronic Heat Delivery architecture allocation,design_review,ready_for_review,pending,mass_fluid_transport_process,Hydronic Heat Delivery,,,,,Collect reviewer evidence through the verification intake template.
calculation:mass_fluid_transport_process,Verify Hydronic Heat Delivery requirement calculations,calculation,ready_for_review,pending,mass_fluid_transport_process,Hydronic Heat Delivery,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:mass_fluid_transport_process,Collect source-backed evidence for Hydronic Heat Delivery critical components,source_evidence,blocked,source_evidence_required,mass_fluid_transport_process,Hydronic Heat Delivery,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,design_review,ready_for_review,pending,control_compute_communication,Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
calculation:control_compute_communication,Verify Control Compute Communication requirement calculations,calculation,ready_for_review,pending,control_compute_communication,Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:control_compute_communication,Collect source-backed evidence for Control Compute Communication critical components,source_evidence,blocked,source_evidence_required,control_compute_communication,Control Compute Communication,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:sensing_instrumentation,Review Sensing Instrumentation architecture allocation,design_review,ready_for_review,pending,sensing_instrumentation,Sensing Instrumentation,,,,,Collect reviewer evidence through the verification intake template.
calculation:sensing_instrumentation,Verify Sensing Instrumentation requirement calculations,calculation,ready_for_review,pending,sensing_instrumentation,Sensing Instrumentation,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:sensing_instrumentation,Collect source-backed evidence for Sensing Instrumentation critical components,source_evidence,blocked,source_evidence_required,sensing_instrumentation,Sensing Instrumentation,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:power_distribution,Review Electrical Power Distribution architecture allocation,design_review,ready_for_review,pending,power_distribution,Electrical Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
design_review:structure_containment,Review Monobloc Structure And Containment architecture allocation,design_review,ready_for_review,pending,structure_containment,Monobloc Structure And Containment,,,,,Collect reviewer evidence through the verification intake template.
design_review:safety_protection,Review Safety Protection architecture allocation,design_review,ready_for_review,pending,safety_protection,Safety Protection,,,,,Collect reviewer evidence through the verification intake template.
design_review:maintenance_serviceability,Review Maintenance And Commissioning architecture allocation,design_review,ready_for_review,pending,maintenance_serviceability,Maintenance And Commissioning,,,,,Collect reviewer evidence through the verification intake template.
design_review:hmi_ergonomics,Review User And Installer Interface architecture allocation,design_review,ready_for_review,pending,hmi_ergonomics,User And Installer Interface,,,,,Collect reviewer evidence through the verification intake template.
interface_review:environmental_interface:energy_conversion_transduction:refrigerant_loop,Verify refrigerant_loop interface contract,interface_review,ready_for_review,pending,environmental_interface:energy_conversion_transduction,Outdoor Air Interface -> Refrigerant Energy Conversion,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_conversion_transduction:mass_fluid_transport_process:hydronic_loop,Verify hydronic_loop interface contract,interface_review,ready_for_review,pending,energy_conversion_transduction:mass_fluid_transport_process,Refrigerant Energy Conversion -> Hydronic Heat Delivery,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:energy_conversion_transduction:control_bus,Verify control_bus interface contract,interface_review,ready_for_review,pending,control_compute_communication:energy_conversion_transduction,Control Compute Communication -> Refrigerant Energy Conversion,,,,,Collect reviewer evidence through the verification intake template.
interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,Verify sensor_bus interface contract,interface_review,ready_for_review,pending,sensing_instrumentation:control_compute_communication,Sensing Instrumentation -> Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:EN-14511,Plan evidence for EN-14511,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:EN-378,Plan evidence for EN-378,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:EN-60335-2-40,Plan evidence for EN-60335-2-40,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
risk_review:1,Review risk control for Refrigerant leak or flammability hazard,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:2,Review risk control for Frozen outdoor coil reduces capacity,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:3,Review risk control for Hydronic overpressure or low flow,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
