id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:wear_days,brief_requirement,brief_supported,Wear duration,"Wear duration = 14 days is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",wear_days,,,false,false
brief:reading_interval_minutes,brief_requirement,brief_supported,Reading interval,"Reading interval = 5 minutes is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",reading_interval_minutes,,,false,false
brief:mard_percent,brief_requirement,brief_supported,MARD target,"MARD target = 9 % is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",mard_percent,,,false,false
metric:headline_output,derived_metric,review_required,Sensor wear duration,Sensor wear duration uses wear_days with medium confidence.,class_pack:cgm.class_pack; formula:wear_days,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,source_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:cgm.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
metric:opex_annual_gbp,derived_metric,source_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
sanity:cgm_wear_duration,sanity_envelope,review_required,Wear Duration,"Wear Duration currently evaluates as pass against 7 to 15 days for common disposable CGM patch wear; longer wear needs adhesive, biocompatibility and sensor-drift evidence.",brief:input.brief; model:engineering_sanity.cgm; model:engineering_sanity.cgm,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",wear_days,,,false,false
sanity:cgm_reading_interval,sanity_envelope,review_required,Reading Interval,Reading Interval currently evaluates as pass against 1 to 15 minute reading intervals for wearable trend monitoring before battery and radio duty-cycle evidence.,brief:input.brief; model:engineering_sanity.cgm; model:engineering_sanity.cgm,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",reading_interval_minutes,,,false,false
sanity:cgm_accuracy_target,sanity_envelope,review_required,MARD Accuracy Target,"MARD Accuracy Target currently evaluates as pass against <=10% MARD target before clinical validation; 10-15% needs strong use-case constraints, >15% is weak for dosing-adjacent use.",brief:input.brief; model:engineering_sanity.cgm; model:engineering_sanity.cgm,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",mard_percent,,,false,false
sanity:cgm_biofluid_signal_closure,sanity_envelope,review_required,Biofluid/Signal Closure,"Biofluid/Signal Closure currently evaluates as pass against interstitial fluid path, electrode signal, sensor signal bus and calibration data bus present.",model:engineering_sanity.cgm; model:engineering_sanity.cgm,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",reading_interval_minutes; mard_percent,,,false,false
sanity:cgm_patch_power_comms_safety,sanity_envelope,review_required,Patch/Power/Comms/Safety Closure,"Patch/Power/Comms/Safety Closure currently evaluates as pass against adhesive skin boundary, sterile boundary, BLE link, low-power rail, alarm bus and disposable applicator present.",model:engineering_sanity.cgm; model:engineering_sanity.cgm,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",wear_days; reading_interval_minutes,,,false,false
interface:skin_patient_interface:sensing_instrumentation:interstitial_fluid_path,interface_closure,model_present,skin_patient_interface -> sensing_instrumentation,interstitial_fluid_path is named on both endpoint modules in the generated architecture.,Sensor chemistry must access interstitial fluid through a declared patient interface.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,interstitial_fluid_path,,false,false
interface:actuation_kinematics:skin_patient_interface:insertion_path,interface_closure,model_present,actuation_kinematics -> skin_patient_interface,insertion_path is named on both endpoint modules in the generated architecture.,Applicator insertion path must align with the adhesive patch and skin boundary.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,insertion_path,,false,false
interface:sensing_instrumentation:control_compute_communication:sensor_signal_bus,interface_closure,model_present,sensing_instrumentation -> control_compute_communication,sensor_signal_bus is named on both endpoint modules in the generated architecture.,Analog sensing output must feed the processing and telemetry stack.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sensor_signal_bus,,false,false
interface:sensing_instrumentation:control_compute_communication:calibration_data_bus,interface_closure,model_present,sensing_instrumentation -> control_compute_communication,calibration_data_bus is named on both endpoint modules in the generated architecture.,Factory calibration and drift state must be visible to the reader algorithm.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,calibration_data_bus,,false,false
interface:energy_storage_source:power_distribution:cell_power_bus,interface_closure,model_present,energy_storage_source -> power_distribution,cell_power_bus is named on both endpoint modules in the generated architecture.,Battery output must feed protected low-power rails.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,cell_power_bus,,false,false
interface:power_distribution:sensing_instrumentation:analog_power_rail,interface_closure,model_present,power_distribution -> sensing_instrumentation,analog_power_rail is named on both endpoint modules in the generated architecture.,Electrochemical analog front-end needs a low-noise supply path.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,analog_power_rail,,false,false
interface:power_distribution:control_compute_communication:low_power_rail,interface_closure,model_present,power_distribution -> control_compute_communication,low_power_rail is named on both endpoint modules in the generated architecture.,MCU and BLE telemetry need duty-cycled digital power.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,low_power_rail,,false,false
interface:environmental_interface:control_compute_communication:temperature_compensation_bus,interface_closure,model_present,environmental_interface -> control_compute_communication,temperature_compensation_bus is named on both endpoint modules in the generated architecture.,Body-temperature context must feed the glucose compensation algorithm.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,temperature_compensation_bus,,false,false
interface:control_compute_communication:safety_protection:alarm_state_bus,interface_closure,model_present,control_compute_communication -> safety_protection,alarm_state_bus is named on both endpoint modules in the generated architecture.,Patient alarm and stale-data states must route through safety logic.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,alarm_state_bus,,false,false
interface:maintenance_serviceability:skin_patient_interface:sterile_boundary,interface_closure,model_present,maintenance_serviceability -> skin_patient_interface,sterile_boundary is named on both endpoint modules in the generated architecture.,Sterile packaging evidence must connect to the patient-contact boundary.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sterile_boundary,,false,false
component:skin_patient_interface_adhesive_patch_stack_adhesive_skin_patch,critical_component,source_required,Adhesive skin patch,Adhesive skin patch is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,adhesive_skin_patch,false,true
component:sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament,critical_component,source_required,Glucose sensing filament,Glucose sensing filament is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,glucose_sensing_filament,false,true
component:sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane,critical_component,source_required,Enzyme reagent membrane,Enzyme reagent membrane is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,enzyme_reagent_membrane,false,true
component:sensing_instrumentation_glucose_filament_stack_reference_electrode,critical_component,source_required,Reference electrode,Reference electrode is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,reference_electrode,false,true
component:actuation_kinematics_disposable_applicator_disposable_applicator,critical_component,source_required,Disposable applicator,Disposable applicator is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,disposable_applicator,false,true
component:structure_containment_transmitter_housing_protective_transmitter_housing,critical_component,source_required,Protective transmitter housing,Protective transmitter housing is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,protective_transmitter_housing,false,true
component:energy_storage_source_battery_cell_thin_film_battery,critical_component,source_required,Thin-film battery,Thin-film battery is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,thin_film_battery,false,true
component:control_compute_communication_mcu_firmware_low_power_microcontroller,critical_component,source_required,Low-power microcontroller,Low-power microcontroller is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,low_power_microcontroller,false,true
component:control_compute_communication_ble_telemetry_ble_radio_module,critical_component,source_required,BLE radio module,BLE radio module is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,ble_radio_module,false,true
component:environmental_interface_temperature_compensation_temperature_sensor,critical_component,source_required,Temperature sensor,Temperature sensor is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,temperature_sensor,false,true
component:maintenance_serviceability_sterile_packaging_sterile_barrier_pouch,critical_component,source_required,Sterile barrier pouch,Sterile barrier pouch is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,sterile_barrier_pouch,false,true
component:maintenance_serviceability_lot_traceability_udi_label_set,critical_component,source_required,UDI label set,UDI label set is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.cgm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,udi_label_set,false,true
compliance:ISO-10993,compliance_evidence,review_required,ISO-10993,Biological evaluation of patient-contacting materials is relevant to this product class in Global / medical device.,class_pack:cgm.class_pack,"Skin-contact material, adhesive and wear-duration biocompatibility evidence.",,,,false,false
compliance:ISO-14971,compliance_evidence,review_required,ISO-14971,Medical-device risk management is relevant to this product class in Global / medical device.,class_pack:cgm.class_pack,"Hazard analysis, risk controls and residual-risk acceptability.",,,,false,false
