id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:actuation_kinematics_agitation_drive_train_agitation_drive:manufacturer,bom_source_field,source_required,assumption,Agitation drive / manufacturer,manufacturer is required but not source-backed.,,,,working_volume_l,actuation_kinematics,agitation_drive,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_agitation_drive_train_agitation_drive:mpn,bom_source_field,source_required,assumption,Agitation drive / mpn,mpn is required but not source-backed.,,,,working_volume_l,actuation_kinematics,agitation_drive,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_agitation_drive_train_agitation_drive:supplier,bom_source_field,source_required,assumption,Agitation drive / supplier,supplier is required but not source-backed.,,,,working_volume_l,actuation_kinematics,agitation_drive,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_agitation_drive_train_agitation_drive:unit_cost_gbp,bom_source_field,source_required,assumption,Agitation drive / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,working_volume_l,actuation_kinematics,agitation_drive,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_process_controller_bioreactor_controller:manufacturer,bom_source_field,source_required,assumption,Bioreactor controller / manufacturer,manufacturer is required but not source-backed.,,,,,control_compute_communication,bioreactor_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_process_controller_bioreactor_controller:mpn,bom_source_field,source_required,assumption,Bioreactor controller / mpn,mpn is required but not source-backed.,,,,,control_compute_communication,bioreactor_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_process_controller_bioreactor_controller:supplier,bom_source_field,source_required,assumption,Bioreactor controller / supplier,supplier is required but not source-backed.,,,,,control_compute_communication,bioreactor_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_process_controller_bioreactor_controller:unit_cost_gbp,bom_source_field,source_required,assumption,Bioreactor controller / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,control_compute_communication,bioreactor_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_exhaust_filter_train_exhaust_filter_and_pressure_relief_set:manufacturer,bom_source_field,source_required,assumption,Exhaust filter and pressure relief set / manufacturer,manufacturer is required but not source-backed.,,,,,environmental_interface,exhaust_filter_and_pressure_relief_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_exhaust_filter_train_exhaust_filter_and_pressure_relief_set:mpn,bom_source_field,source_required,assumption,Exhaust filter and pressure relief set / mpn,mpn is required but not source-backed.,,,,,environmental_interface,exhaust_filter_and_pressure_relief_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
