id,kind,priority,status,scope,issue,requiredEvidence,closurePath,blocks,linkedIds,source
readiness:1,readiness_blocker,blocker,open,Report readiness gate,bom score 1 is below 8.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",score_repair,publishable,,report_readiness_gate
readiness:2,readiness_blocker,blocker,open,Report readiness gate,12 critical BoM line(s) lack source-backed cost evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",sourcing_intake,bom; publishable,,report_readiness_gate
readiness:3,readiness_blocker,blocker,open,Report readiness gate,9 verification activity/activities remain blocked.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
readiness:4,readiness_blocker,blocker,open,Report readiness gate,0/35 non-sourcing verification activity/activities have accepted reviewer evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
calculation:haps_endurance_hours,calculation_review,major,needs_review,HAPS endurance hours,720 h endurance target before stratospheric energy-balance proof.,"Confirm solar resource, battery reserve, wind field, degradation, payload power and recovery plan.",engineering_review,publishable,endurance_days,engineering_calculation_ledger
calculation:haps_wingspan_to_altitude_ratio,calculation_review,major,needs_review,HAPS wingspan-to-altitude marker,"1.75 m/km is a trace marker, not an aerodynamic proof.","Confirm wing area, mass budget, airfoil, aeroelastic margin, launch loads and transport constraints.",engineering_review,publishable,wingspan_m; altitude_km,engineering_calculation_ledger
assumption:metric:headline_output,assumption_review,major,needs_review,Station-keeping endurance,Station-keeping endurance uses endurance_days with medium confidence.,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:capex_gbp,assumption_review,blocker,ready_for_intake,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:metric:opex_annual_gbp,assumption_review,blocker,ready_for_intake,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:sanity:haps_altitude_band,assumption_review,major,needs_review,Stratospheric Altitude Band,"Stratospheric Altitude Band currently evaluates as pass against 15 to 25 km for common HAPS station-keeping concepts; outside this band needs atmospheric, power and airspace evidence.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,altitude_km,engineering_assumption_ledger
assumption:sanity:haps_endurance_target,assumption_review,major,needs_review,Station-Keeping Endurance,"Station-Keeping Endurance currently evaluates as pass against <=60 days plausible for early solar HAPS concept, 60-180 days needs strong degradation and energy evidence, >180 days is high risk.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,endurance_days,engineering_assumption_ledger
