activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:structure_containment,Review Airframe Structure And Payload Mounting architecture allocation,ready_for_review,design_review,structure_containment,Airframe Structure And Payload Mounting,,,motor_mounts; payload_mount; battery_mount; service_access; video_link; power_bus,carbon_airframe; carbon_fibre_arm_tube; centre_plate_pair; arm_folding_hinge; landing_gear_strut; camera_gimbal_mount_plate; rubber_vibration_damper; payload_quick_release_latch; payload_cg_adjustment_rail; battery_tray; battery_retention_strap; anti_slip_battery_pad; pack_latch_sensor,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:structure_containment,Collect source-backed evidence for Airframe Structure And Payload Mounting critical components,blocked,source_evidence,structure_containment,Airframe Structure And Payload Mounting,,,,carbon_airframe,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",carbon_airframe
design_review:energy_storage_source,Review Flight Energy Storage architecture allocation,ready_for_review,design_review,energy_storage_source,Flight Energy Storage,duration_minutes,drone_endurance_target; drone_propulsion_quads; drone_control_power_chain,power_bus; charger_interface; battery_mount; sensor_bus; service_access,flight_battery_pack; high_discharge_cell_group; battery_management_pcb; xt90_anti_spark_connector; pack_temperature_sensor; power_module_shunt; voltage_divider_board; low_voltage_alarm_output; battery_telemetry_connector; balance_charge_harness; charging_cradle; pack_id_label; transport_storage_case_insert,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:energy_storage_source,Verify Flight Energy Storage requirement calculations,open,calculation,energy_storage_source,Flight Energy Storage,duration_minutes,drone_endurance_target; drone_propulsion_quads; drone_control_power_chain,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.","drone_endurance_target: 40 minutes is an aggressive cinematography-drone target and needs a mass, propeller and battery energy budget before design freeze."
source_evidence:energy_storage_source,Collect source-backed evidence for Flight Energy Storage critical components,blocked,source_evidence,energy_storage_source,Flight Energy Storage,duration_minutes,,,flight_battery_pack,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",flight_battery_pack
design_review:actuation_kinematics,Review Propulsion And Flight Actuation architecture allocation,ready_for_review,design_review,actuation_kinematics,Propulsion And Flight Actuation,duration_minutes,drone_endurance_target; drone_propulsion_quads; drone_control_power_chain,power_bus; motor_drive; motor_mounts; sensor_bus,brushless_motors; motor_mounting_screw_set; motor_phase_lead_set; motor_bearing_shield; esc; esc_cooling_plate; pwm_signal_harness; current_telemetry_line; esc_conformal_coating; propeller_set; propeller_hub_adapter; propeller_lock_nut; spare_propeller_pouch,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:actuation_kinematics,Verify Propulsion And Flight Actuation requirement calculations,open,calculation,actuation_kinematics,Propulsion And Flight Actuation,duration_minutes,drone_endurance_target; drone_propulsion_quads; drone_control_power_chain,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.","drone_endurance_target: 40 minutes is an aggressive cinematography-drone target and needs a mass, propeller and battery energy budget before design freeze."
source_evidence:actuation_kinematics,Collect source-backed evidence for Propulsion And Flight Actuation critical components,blocked,source_evidence,actuation_kinematics,Propulsion And Flight Actuation,duration_minutes,,,brushless_motors; esc; propeller_set,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",brushless_motors esc propeller_set
design_review:control_compute_communication,Review Flight Control Compute And Communications architecture allocation,ready_for_review,design_review,control_compute_communication,Flight Control Compute And Communications,duration_minutes,drone_endurance_target; drone_propulsion_quads; drone_control_power_chain,sensor_bus; motor_drive; radio_link; video_link; power_bus,flight_controller; imu_vibration_isolation_mount; barometer_foam_cover; sd_card_flight_logger; failsafe_firmware_profile; radio_and_gnss_link; gnss_antenna_mast; rc_receiver; telemetry_radio_module; antenna_diversity_mount; low_latency_video_transmitter; video_antenna_pair; hdmi_micro_cable; video_power_filter,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:control_compute_communication,Verify Flight Control Compute And Communications requirement calculations,open,calculation,control_compute_communication,Flight Control Compute And Communications,duration_minutes,drone_endurance_target; drone_propulsion_quads; drone_control_power_chain,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.","drone_endurance_target: 40 minutes is an aggressive cinematography-drone target and needs a mass, propeller and battery energy budget before design freeze."
source_evidence:control_compute_communication,Collect source-backed evidence for Flight Control Compute And Communications critical components,blocked,source_evidence,control_compute_communication,Flight Control Compute And Communications,duration_minutes,,,flight_controller; radio_and_gnss_link,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",flight_controller radio_and_gnss_link
design_review:sensing_instrumentation,Review Navigation And Cinematography Sensing architecture allocation,ready_for_review,design_review,sensing_instrumentation,Navigation And Cinematography Sensing,,,sensor_bus; video_link; payload_mount,4k_camera_payload; three_axis_gimbal; camera_control_cable; lens_protection_hood; microsd_media_card; magnetometer_module; rangefinder_altimeter; optical_flow_sensor; airspeed_estimate_port; vibration_monitor_pad; payload_presence_switch; avionics_temperature_probe; landing_contact_switch,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:sensing_instrumentation,Collect source-backed evidence for Navigation And Cinematography Sensing critical components,blocked,source_evidence,sensing_instrumentation,Navigation And Cinematography Sensing,,,,4k_camera_payload,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",4k_camera_payload
design_review:power_distribution,Review Aircraft Power Distribution architecture allocation,ready_for_review,design_review,power_distribution,Aircraft Power Distribution,,,power_bus; protective_earth; motor_drive; video_link; sensor_bus,power_distribution_pcb; copper_bus_plane; main_fuse_link; anti_spark_loop_key; 5_v_bec_regulator; 12_v_payload_regulator; lc_noise_filter; rail_status_led; silicone_power_lead_set; jst_signal_harness; braided_cable_sleeve; strain_relief_clip_set,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:safety_protection,Review Flight Safety And Containment architecture allocation,ready_for_review,design_review,safety_protection,Flight Safety And Containment,,,radio_link; power_bus; service_access; alarm_bus; sensor_bus,arming_switch; status_buzzer; motor_inhibit_logic; preflight_checklist_tag; return_to_home_failsafe; geofence_configuration; low_battery_landing_logic; flight_termination_setting; fire_resistant_battery_pouch; pack_swelling_gauge; charge_log_sheet; thermal_warning_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:maintenance_serviceability,Review Field Maintenance And Serviceability architecture allocation,ready_for_review,design_review,maintenance_serviceability,Field Maintenance And Serviceability,,,service_access; motor_mounts; payload_mount,spare_arm_clamp; motor_alignment_gauge; propeller_torque_tool; field_fastener_kit; crack_inspection_marker; fastener_witness_paint; battery_cycle_counter_label; payload_latch_witness_mark; foam_transport_case; propeller_guard_sleeve; gimbal_transport_lock; desiccant_storage_pouch,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:hmi_ergonomics,Review Ground Operator Interface architecture allocation,ready_for_review,design_review,hmi_ergonomics,Ground Operator Interface,,,radio_link; video_link; service_access,handheld_transmitter; ground_station_tablet; sun_hood; controller_neck_strap; aircraft_id_label; propeller_rotation_label; payload_mass_placard; preflight_checklist_card,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
interface_review:energy_storage_source:actuation_kinematics:power_bus,Verify power_bus interface contract,ready_for_review,interface_review,energy_storage_source:actuation_kinematics,Flight Energy Storage -> Propulsion And Flight Actuation,,,power_bus,flight_battery_pack; high_discharge_cell_group; battery_management_pcb; xt90_anti_spark_connector; pack_temperature_sensor; power_module_shunt; voltage_divider_board; low_voltage_alarm_output; battery_telemetry_connector; brushless_motors; motor_mounting_screw_set; motor_phase_lead_set; motor_bearing_shield; esc; esc_cooling_plate; pwm_signal_harness; current_telemetry_line; esc_conformal_coating,"Both endpoint modules declare the interface. At least one submodule carrier is named on each endpoint. Electrical, thermal, fluid, mechanical or data capacity is validated by the next detailed design pass.",
interface_review:control_compute_communication:actuation_kinematics:motor_drive,Verify motor_drive interface contract,ready_for_review,interface_review,control_compute_communication:actuation_kinematics,Flight Control Compute And Communications -> Propulsion And Flight Actuation,,,motor_drive,flight_controller; imu_vibration_isolation_mount; barometer_foam_cover; sd_card_flight_logger; failsafe_firmware_profile; brushless_motors; motor_mounting_screw_set; motor_phase_lead_set; motor_bearing_shield; esc; esc_cooling_plate; pwm_signal_harness; current_telemetry_line; esc_conformal_coating,"Both endpoint modules declare the interface. At least one submodule carrier is named on each endpoint. Electrical, thermal, fluid, mechanical or data capacity is validated by the next detailed design pass.",
interface_review:control_compute_communication:sensing_instrumentation:sensor_bus,Verify sensor_bus interface contract,ready_for_review,interface_review,control_compute_communication:sensing_instrumentation,Flight Control Compute And Communications -> Navigation And Cinematography Sensing,,,sensor_bus,flight_controller; imu_vibration_isolation_mount; barometer_foam_cover; sd_card_flight_logger; failsafe_firmware_profile; radio_and_gnss_link; gnss_antenna_mast; rc_receiver; telemetry_radio_module; antenna_diversity_mount; magnetometer_module; rangefinder_altimeter; optical_flow_sensor; airspeed_estimate_port; vibration_monitor_pad; payload_presence_switch; avionics_temperature_probe; landing_contact_switch,"Both endpoint modules declare the interface. At least one submodule carrier is named on each endpoint. Electrical, thermal, fluid, mechanical or data capacity is validated by the next detailed design pass.",
compliance_review:UK-UAS,Plan evidence for UK-UAS,open,compliance_review,system_compliance,System Compliance,,,,,"Mass, geofencing and operating-category evidence.",Compliance evidence not yet collected in scratch prototype.
compliance_review:CE-EMC,Plan evidence for CE-EMC,open,compliance_review,system_compliance,System Compliance,,,,,EMC test plan and declarations.,Compliance evidence not yet collected in scratch prototype.
risk_review:1,Review risk control for Loss of propulsion,open,compliance_review,system_risk,System Risk Register,,,,,"Severity, occurrence and detection ratings have been reviewed by a domain owner. Mitigation is accepted, corrected or converted into a design action. Any residual high-risk item has an owner before publication.",Risk evidence not yet reviewed in scratch prototype.
risk_review:2,Review risk control for Battery thermal event,open,compliance_review,system_risk,System Risk Register,,,,,"Severity, occurrence and detection ratings have been reviewed by a domain owner. Mitigation is accepted, corrected or converted into a design action. Any residual high-risk item has an owner before publication.",Risk evidence not yet reviewed in scratch prototype.
