id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:EMC-MARINE-COMMS-REVIEW,assumption_resolution,major,needs_review,EMC-MARINE-COMMS-REVIEW,"Can the EMC-MARINE-COMMS-REVIEW assumption be accepted for architecture review, or must it be replaced with evidence?","Acoustic modem integration, antenna/transducer mounting, cable shielding and data-loss behaviour.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:PRESSURE-BOUNDARY-REVIEW,assumption_resolution,major,needs_review,PRESSURE-BOUNDARY-REVIEW,"Can the PRESSURE-BOUNDARY-REVIEW assumption be accepted for architecture review, or must it be replaced with evidence?","Depth rating calculation, hull material allowables, endcap seal design and proof-pressure plan.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:SUBSEA-LEAK-ABORT-REVIEW,assumption_resolution,major,needs_review,SUBSEA-LEAK-ABORT-REVIEW,"Can the SUBSEA-LEAK-ABORT-REVIEW assumption be accepted for architecture review, or must it be replaced with evidence?","Leak sensor placement, abort state machine, battery isolation and recovery procedure.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:actuation_kinematics_thruster_array_thruster_set,assumption_resolution,major,needs_review,Thruster set,"Can the Thruster set assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",actuation_kinematics,,thruster_set,,,,
assumption_resolution:component:control_compute_communication_acoustic_communications_acoustic_modem,assumption_resolution,major,needs_review,Acoustic modem,"Can the Acoustic modem assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,acoustic_modem,,,,
assumption_resolution:component:control_compute_communication_mission_computer_stack_mission_computer,assumption_resolution,major,needs_review,Mission computer,"Can the Mission computer assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,mission_computer,,,,
assumption_resolution:component:energy_storage_source_subsea_battery_pack_battery_pack,assumption_resolution,major,needs_review,Battery pack,"Can the Battery pack assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_storage_source,,battery_pack,,,,
assumption_resolution:component:power_distribution_dc_distribution_wet_mate_connector_set,assumption_resolution,major,needs_review,Wet-mate connector set,"Can the Wet-mate connector set assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",power_distribution,,wet_mate_connector_set,,,,
assumption_resolution:component:safety_protection_abort_recovery_recovery_beacon,assumption_resolution,major,needs_review,Recovery beacon,"Can the Recovery beacon assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",safety_protection,,recovery_beacon,,,,
assumption_resolution:component:safety_protection_leak_detection_leak_detection_sensor,assumption_resolution,major,needs_review,Leak detection sensor,"Can the Leak detection sensor assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",safety_protection,,leak_detection_sensor,,,,
assumption_resolution:component:sensing_instrumentation_depth_environment_sensors_depth_and_pressure_sensor,assumption_resolution,major,needs_review,Depth and pressure sensor,"Can the Depth and pressure sensor assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",sensing_instrumentation,,depth_and_pressure_sensor,,,,
