moduleId,moduleName,verdict,subModuleCount,componentWordCount,interfaceCount,linkedRequirementCount,requiredInterfaceContracts,carrierCompleteInterfaceContracts,blockedAllocationRows,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,linkedCalculationRows,assumptionReviewRows,criticalBomLines,unpricedCriticalLines,passRatio,blockers,requiredAction
energy_conversion_transduction,Refrigerant Energy Conversion,review,4,16,6,2,3,3,0,14,0,0,2,7,2,2,0.86,,2 critical BoM line(s) need source-backed cost evidence. 14 engineering review question(s) await acceptance. 7 assumption row(s) need review or source evidence.
environmental_interface,Outdoor Air Interface,review,3,12,7,1,1,1,0,10,0,0,1,6,2,2,0.86,,2 critical BoM line(s) need source-backed cost evidence. 10 engineering review question(s) await acceptance. 6 assumption row(s) need review or source evidence.
mass_fluid_transport_process,Hydronic Heat Delivery,review,3,12,7,1,1,1,0,11,0,0,1,7,3,3,0.86,,3 critical BoM line(s) need source-backed cost evidence. 11 engineering review question(s) await acceptance. 7 assumption row(s) need review or source evidence.
control_compute_communication,Control Compute Communication,review,3,12,5,1,2,2,0,11,0,0,2,5,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 11 engineering review question(s) await acceptance. 5 assumption row(s) need review or source evidence.
sensing_instrumentation,Sensing Instrumentation,review,3,12,4,1,1,1,0,10,0,0,2,6,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 10 engineering review question(s) await acceptance. 6 assumption row(s) need review or source evidence.
power_distribution,Electrical Power Distribution,review,3,12,5,0,0,0,0,4,0,0,0,1,0,0,0.71,,4 engineering review question(s) await acceptance. 1 assumption row(s) need review or source evidence.
structure_containment,Monobloc Structure And Containment,review,3,12,5,0,0,0,0,4,0,0,0,0,0,0,0.71,,4 engineering review question(s) await acceptance.
safety_protection,Safety Protection,review,3,12,8,0,0,0,0,4,0,0,0,1,0,0,0.71,,4 engineering review question(s) await acceptance. 1 assumption row(s) need review or source evidence.
maintenance_serviceability,Maintenance And Commissioning,review,3,12,7,0,0,0,0,4,0,0,0,2,0,0,0.71,,4 engineering review question(s) await acceptance. 2 assumption row(s) need review or source evidence.
hmi_ergonomics,User And Installer Interface,review,3,12,4,0,0,0,0,4,0,0,0,1,0,0,0.71,,4 engineering review question(s) await acceptance. 1 assumption row(s) need review or source evidence.
