batchId,batchSequence,batchKind,batchTitle,batchStatus,itemId,closureRowId,action,priority,status,componentWordId,description,searchTerms,requiredEvidence,acceptanceCriteria,rejectionCriteria,targetOutcome,blocksProcurement,sourceArtifacts
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:1:esc,bom-close:actuation_kinematics_esc_stack_esc,collect_source_evidence,blocker,ready,esc,ESC,ESC; ESC manufacturer part number; ESC catalogue price GBP; ESC datasheet; ESC UAV; ESC lightweight drone,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:2:brushless_motors,bom-close:actuation_kinematics_motor_sets_brushless_motors,collect_source_evidence,blocker,ready,brushless_motors,Brushless motors,Brushless motors; Brushless motors manufacturer part number; Brushless motors catalogue price GBP; Brushless motors datasheet; Brushless motors UAV; Brushless motors lightweight drone,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:3:propeller_set,bom-close:actuation_kinematics_propeller_sets_propeller_set,collect_source_evidence,blocker,ready,propeller_set,Propeller set,Propeller set; Propeller set manufacturer part number; Propeller set catalogue price GBP; Propeller set datasheet; Propeller set UAV; Propeller set lightweight drone,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:4:flight_controller,bom-close:control_compute_communication_flight_controller_stack_flight_controller,collect_source_evidence,blocker,ready,flight_controller,Flight controller,Flight controller; Flight controller manufacturer part number; Flight controller catalogue price GBP; Flight controller datasheet; Flight controller UAV; Flight controller lightweight drone,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:5:radio_and_gnss_link,bom-close:control_compute_communication_radio_navigation_link_radio_and_gnss_link,collect_source_evidence,blocker,ready,radio_and_gnss_link,Radio and GNSS link,Radio and GNSS link; Radio and GNSS link manufacturer part number; Radio and GNSS link catalogue price GBP; Radio and GNSS link datasheet; Radio and GNSS link UAV; Radio and GNSS link lightweight drone,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:6:flight_battery_pack,bom-close:energy_storage_source_flight_battery_pack_flight_battery_pack,collect_source_evidence,blocker,ready,flight_battery_pack,Flight battery pack,Flight battery pack; Flight battery pack manufacturer part number; Flight battery pack catalogue price GBP; Flight battery pack datasheet; Flight battery pack UAV; Flight battery pack lightweight drone,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:7:4k_camera_payload,bom-close:sensing_instrumentation_camera_payload_4k_camera_payload,collect_source_evidence,blocker,ready,4k_camera_payload,4K camera payload,4K camera payload; 4K camera payload manufacturer part number; 4K camera payload catalogue price GBP; 4K camera payload datasheet; 4K camera payload UAV; 4K camera payload lightweight drone,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:8:carbon_airframe,bom-close:structure_containment_carbon_airframe_carbon_airframe,collect_source_evidence,blocker,ready,carbon_airframe,Carbon airframe,Carbon airframe; Carbon airframe manufacturer part number; Carbon airframe catalogue price GBP; Carbon airframe datasheet; Carbon airframe UAV; Carbon airframe lightweight drone,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:1:current_telemetry_line,bom-close:actuation_kinematics_esc_stack_current_telemetry_line,defer_candidate_sourcing,minor,deferred,current_telemetry_line,current telemetry line,current telemetry line; current telemetry line manufacturer part number; current telemetry line catalogue price GBP; current telemetry line datasheet; current telemetry line UAV; current telemetry line lightweight drone,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:2:esc_conformal_coating,bom-close:actuation_kinematics_esc_stack_esc_conformal_coating,defer_candidate_sourcing,minor,deferred,esc_conformal_coating,ESC conformal coating,ESC conformal coating; ESC conformal coating manufacturer part number; ESC conformal coating catalogue price GBP; ESC conformal coating datasheet; ESC conformal coating UAV; ESC conformal coating lightweight drone,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:3:esc_cooling_plate,bom-close:actuation_kinematics_esc_stack_esc_cooling_plate,defer_candidate_sourcing,minor,deferred,esc_cooling_plate,ESC cooling plate,ESC cooling plate; ESC cooling plate manufacturer part number; ESC cooling plate catalogue price GBP; ESC cooling plate datasheet; ESC cooling plate UAV; ESC cooling plate lightweight drone,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:4:pwm_signal_harness,bom-close:actuation_kinematics_esc_stack_pwm_signal_harness,defer_candidate_sourcing,minor,deferred,pwm_signal_harness,PWM signal harness,PWM signal harness; PWM signal harness manufacturer part number; PWM signal harness catalogue price GBP; PWM signal harness datasheet; PWM signal harness UAV; PWM signal harness lightweight drone,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:5:motor_bearing_shield,bom-close:actuation_kinematics_motor_sets_motor_bearing_shield,defer_candidate_sourcing,minor,deferred,motor_bearing_shield,motor bearing shield,motor bearing shield; motor bearing shield manufacturer part number; motor bearing shield catalogue price GBP; motor bearing shield datasheet; motor bearing shield UAV; motor bearing shield lightweight drone,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:6:motor_mounting_screw_set,bom-close:actuation_kinematics_motor_sets_motor_mounting_screw_set,defer_candidate_sourcing,minor,deferred,motor_mounting_screw_set,motor mounting screw set,motor mounting screw set; motor mounting screw set manufacturer part number; motor mounting screw set catalogue price GBP; motor mounting screw set datasheet; motor mounting screw set UAV; motor mounting screw set lightweight drone,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:7:motor_phase_lead_set,bom-close:actuation_kinematics_motor_sets_motor_phase_lead_set,defer_candidate_sourcing,minor,deferred,motor_phase_lead_set,motor phase lead set,motor phase lead set; motor phase lead set manufacturer part number; motor phase lead set catalogue price GBP; motor phase lead set datasheet; motor phase lead set UAV; motor phase lead set lightweight drone,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
