activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:structure_containment,Review Ultra-Light Wing Structure architecture allocation,ready_for_review,design_review,structure_containment,Ultra-Light Wing Structure,wingspan_m,haps_wingspan_envelope; haps_energy_flight_closure,aero_load_path; solar_mount; propulsion_mounts; service_access; payload_mount; flight_control_bus,high_aspect_ratio_wing_structure; carbon_spar_cap_set; foam_rib_set; wing_joiner_sleeve; tail_boom_assembly; elevator_surface; rudder_surface; control_hinge_set; payload_bay_frame; avionics_tray; access_panel_latch_set; mass_balance_bracket,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:structure_containment,Verify Ultra-Light Wing Structure requirement calculations,ready_for_review,calculation,structure_containment,Ultra-Light Wing Structure,wingspan_m,haps_wingspan_envelope; haps_energy_flight_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:structure_containment,Collect source-backed evidence for Ultra-Light Wing Structure critical components,blocked,source_evidence,structure_containment,Ultra-Light Wing Structure,wingspan_m,,,high_aspect_ratio_wing_structure,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",high_aspect_ratio_wing_structure
design_review:energy_harvesting,Review Solar Energy Harvesting architecture allocation,ready_for_review,design_review,energy_harvesting,Solar Energy Harvesting,wingspan_m; endurance_days,haps_wingspan_envelope; haps_energy_flight_closure; haps_endurance_target,solar_dc_bus; solar_mount; sensor_bus; thermal_path; service_access,solar_cell_array; cell_interconnect_ribbon; transparent_encapsulation_film; solar_string_bypass_diode; mppt_power_tracker; solar_input_current_sensor; solar_voltage_tap_loom; mppt_heat_spreader; solar_string_monitor_board; uv_exposure_witness_coupon; wing_surface_temperature_sensor; solar_inspection_connector,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:energy_harvesting,Verify Solar Energy Harvesting requirement calculations,ready_for_review,calculation,energy_harvesting,Solar Energy Harvesting,wingspan_m; endurance_days,haps_wingspan_envelope; haps_energy_flight_closure; haps_endurance_target,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:energy_harvesting,Collect source-backed evidence for Solar Energy Harvesting critical components,blocked,source_evidence,energy_harvesting,Solar Energy Harvesting,wingspan_m; endurance_days,,,solar_cell_array; mppt_power_tracker,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",solar_cell_array mppt_power_tracker
design_review:energy_storage_source,Review Night-Cycle Energy Storage architecture allocation,ready_for_review,design_review,energy_storage_source,Night-Cycle Energy Storage,endurance_days,haps_endurance_target; haps_energy_flight_closure,battery_dc_bus; thermal_path; battery_monitor_bus; service_access; sensor_bus; telemetry_link,stratospheric_battery_pack; battery_management_board; lightweight_battery_enclosure; cell_heater_film; battery_insulation_sleeve; phase_change_thermal_buffer; battery_temperature_sensor_harness; battery_vent_path; coulomb_counter_module; reserve_energy_estimator; battery_isolation_contactor; night_cycle_test_connector,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:energy_storage_source,Verify Night-Cycle Energy Storage requirement calculations,ready_for_review,calculation,energy_storage_source,Night-Cycle Energy Storage,endurance_days,haps_endurance_target; haps_energy_flight_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:energy_storage_source,Collect source-backed evidence for Night-Cycle Energy Storage critical components,blocked,source_evidence,energy_storage_source,Night-Cycle Energy Storage,endurance_days,,,stratospheric_battery_pack,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",stratospheric_battery_pack
design_review:power_distribution,Review Flight Power Distribution architecture allocation,ready_for_review,design_review,power_distribution,Flight Power Distribution,endurance_days,haps_endurance_target; haps_energy_flight_closure,solar_dc_bus; battery_dc_bus; propulsion_power_bus; payload_power_bus; low_voltage_rail; hardwired_trip; service_access; battery_monitor_bus,solar_battery_charge_controller; main_dc_bus_board; payload_power_switch; propulsion_bus_fuse_set; avionics_dc_converter; servo_power_rail; communications_dc_converter; low_voltage_harness_loom; load_shed_relay_set; brownout_supervisor; energy_priority_controller; fault_latch_indicator,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:power_distribution,Verify Flight Power Distribution requirement calculations,ready_for_review,calculation,power_distribution,Flight Power Distribution,endurance_days,haps_endurance_target; haps_energy_flight_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
design_review:actuation_kinematics,Review Propulsion And Control Surfaces architecture allocation,ready_for_review,design_review,actuation_kinematics,Propulsion And Control Surfaces,wingspan_m; endurance_days,haps_wingspan_envelope; haps_energy_flight_closure; haps_endurance_target,propulsion_power_bus; flight_control_bus; propulsion_mounts; aero_load_path; low_voltage_rail; sensor_bus,electric_propulsion_pod; high_altitude_propeller_set; motor_controller_module; propulsion_pod_fairing; low_temperature_servo_actuator; control_linkage_rod_set; surface_position_sensor; servo_heater_trace; trim_schedule_table; gust_load_estimator; airspeed_setpoint_manager; propulsion_calibration_record,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:actuation_kinematics,Verify Propulsion And Control Surfaces requirement calculations,ready_for_review,calculation,actuation_kinematics,Propulsion And Control Surfaces,wingspan_m; endurance_days,haps_wingspan_envelope; haps_energy_flight_closure; haps_endurance_target,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:actuation_kinematics,Collect source-backed evidence for Propulsion And Control Surfaces critical components,blocked,source_evidence,actuation_kinematics,Propulsion And Control Surfaces,wingspan_m; endurance_days,,,electric_propulsion_pod,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",electric_propulsion_pod
design_review:control_compute_communication,Review Autonomy Control Communication architecture allocation,ready_for_review,design_review,control_compute_communication,Autonomy Control Communication,endurance_days; altitude_km,haps_endurance_target; haps_energy_flight_closure; haps_altitude_band; haps_payload_comms_safety,flight_control_bus; sensor_bus; telemetry_link; battery_monitor_bus; payload_data_link; hardwired_trip; service_access,flight_control_computer; autopilot_io_board; flight_software_image; watchdog_supervisor; ground_control_link; telemetry_transceiver; command_authentication_module; mission_log_recorder; solar_forecast_model; wind_field_route_planner; payload_duty_cycle_controller; return_corridor_manager,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:control_compute_communication,Verify Autonomy Control Communication requirement calculations,ready_for_review,calculation,control_compute_communication,Autonomy Control Communication,endurance_days; altitude_km,haps_endurance_target; haps_energy_flight_closure; haps_altitude_band; haps_payload_comms_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:control_compute_communication,Collect source-backed evidence for Autonomy Control Communication critical components,blocked,source_evidence,control_compute_communication,Autonomy Control Communication,endurance_days; altitude_km,,,flight_control_computer; ground_control_link,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",flight_control_computer ground_control_link
design_review:sensing_instrumentation,Review Navigation And Airdata Sensing architecture allocation,ready_for_review,design_review,sensing_instrumentation,Navigation And Airdata Sensing,altitude_km,haps_altitude_band; haps_energy_flight_closure; haps_payload_comms_safety,sensor_bus; flight_control_bus; aero_load_path; telemetry_link,gnss_ins_navigation_unit; barometric_altitude_sensor; sun_sensor_pair; precision_timebase_module; pitot_static_probe; outside_air_temperature_probe; wind_estimation_filter; humidity_frost_sensor; wing_strain_gauge_strip; spar_temperature_sensor; vibration_accelerometer; structural_health_recorder,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:sensing_instrumentation,Verify Navigation And Airdata Sensing requirement calculations,ready_for_review,calculation,sensing_instrumentation,Navigation And Airdata Sensing,altitude_km,haps_altitude_band; haps_energy_flight_closure; haps_payload_comms_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:sensing_instrumentation,Collect source-backed evidence for Navigation And Airdata Sensing critical components,blocked,source_evidence,sensing_instrumentation,Navigation And Airdata Sensing,altitude_km,,,gnss_ins_navigation_unit,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",gnss_ins_navigation_unit
design_review:payload_communication,Review Communications Payload architecture allocation,ready_for_review,design_review,payload_communication,Communications Payload,,,payload_data_link; payload_power_bus; rf_aperture; thermal_path; service_access; aero_load_path,stratospheric_communications_payload; payload_modem_board; payload_rf_power_amplifier; payload_processor_module; payload_antenna_array; antenna_ground_plane_film; antenna_feed_harness; beam_pointing_calibration_target; payload_isolation_mount; payload_thermal_strap; payload_access_hatch; payload_configuration_tag,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:payload_communication,Collect source-backed evidence for Communications Payload critical components,blocked,source_evidence,payload_communication,Communications Payload,,,,stratospheric_communications_payload; payload_antenna_array,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",stratospheric_communications_payload payload_antenna_array
design_review:environmental_interface,Review Stratospheric Environmental Interface architecture allocation,ready_for_review,design_review,environmental_interface,Stratospheric Environmental Interface,altitude_km,haps_altitude_band; haps_energy_flight_closure; haps_payload_comms_safety,thermal_path; solar_mount; service_access; rf_aperture; aero_load_path; payload_power_bus,thermal_insulation_blanket; multi_layer_insulation_patch; lightweight_thermal_strap; thermal_witness_label; uv_protective_film; leading_edge_erosion_tape; surface_contamination_wipe_kit; coating_inspection_marker; low_pressure_vent_path; conformal_coating_set; high_altitude_creepage_spacer; desiccant_cartridge,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:environmental_interface,Verify Stratospheric Environmental Interface requirement calculations,ready_for_review,calculation,environmental_interface,Stratospheric Environmental Interface,altitude_km,haps_altitude_band; haps_energy_flight_closure; haps_payload_comms_safety,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:environmental_interface,Collect source-backed evidence for Stratospheric Environmental Interface critical components,blocked,source_evidence,environmental_interface,Stratospheric Environmental Interface,altitude_km,,,thermal_insulation_blanket,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",thermal_insulation_blanket
