id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:control_compute_communication_bms_master_bms_master_controller:manufacturer,bom_source_field,source_required,assumption,BMS master controller / manufacturer,manufacturer is required but not source-backed.,,,,power_mw,control_compute_communication,bms_master_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_bms_master_bms_master_controller:mpn,bom_source_field,source_required,assumption,BMS master controller / mpn,mpn is required but not source-backed.,,,,power_mw,control_compute_communication,bms_master_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_bms_master_bms_master_controller:supplier,bom_source_field,source_required,assumption,BMS master controller / supplier,supplier is required but not source-backed.,,,,power_mw,control_compute_communication,bms_master_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_bms_master_bms_master_controller:unit_cost_gbp,bom_source_field,source_required,assumption,BMS master controller / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,power_mw,control_compute_communication,bms_master_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_pcs_inverter_pcs_inverter:manufacturer,bom_source_field,source_required,assumption,PCS inverter / manufacturer,manufacturer is required but not source-backed.,,,,capacity_mwh; power_mw,energy_conversion_transduction,pcs_inverter,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_pcs_inverter_pcs_inverter:mpn,bom_source_field,source_required,assumption,PCS inverter / mpn,mpn is required but not source-backed.,,,,capacity_mwh; power_mw,energy_conversion_transduction,pcs_inverter,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_pcs_inverter_pcs_inverter:supplier,bom_source_field,source_required,assumption,PCS inverter / supplier,supplier is required but not source-backed.,,,,capacity_mwh; power_mw,energy_conversion_transduction,pcs_inverter,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_pcs_inverter_pcs_inverter:unit_cost_gbp,bom_source_field,source_required,assumption,PCS inverter / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,capacity_mwh; power_mw,energy_conversion_transduction,pcs_inverter,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_cell_string_lfp_prismatic_cells:manufacturer,bom_source_field,source_required,assumption,LFP prismatic cells / manufacturer,manufacturer is required but not source-backed.,,,,capacity_mwh,energy_storage_source,lfp_prismatic_cells,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_cell_string_lfp_prismatic_cells:mpn,bom_source_field,source_required,assumption,LFP prismatic cells / mpn,mpn is required but not source-backed.,,,,capacity_mwh,energy_storage_source,lfp_prismatic_cells,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_cell_string_lfp_prismatic_cells:supplier,bom_source_field,source_required,assumption,LFP prismatic cells / supplier,supplier is required but not source-backed.,,,,capacity_mwh,energy_storage_source,lfp_prismatic_cells,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_cell_string_lfp_prismatic_cells:unit_cost_gbp,bom_source_field,source_required,assumption,LFP prismatic cells / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,capacity_mwh,energy_storage_source,lfp_prismatic_cells,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_dc_string_output_dc_contactor_or_breaker:manufacturer,bom_source_field,source_required,assumption,DC contactor or breaker / manufacturer,manufacturer is required but not source-backed.,,,,,energy_storage_source,dc_contactor_or_breaker,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_dc_string_output_dc_contactor_or_breaker:mpn,bom_source_field,source_required,assumption,DC contactor or breaker / mpn,mpn is required but not source-backed.,,,,,energy_storage_source,dc_contactor_or_breaker,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_dc_string_output_dc_contactor_or_breaker:supplier,bom_source_field,source_required,assumption,DC contactor or breaker / supplier,supplier is required but not source-backed.,,,,,energy_storage_source,dc_contactor_or_breaker,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_dc_string_output_dc_contactor_or_breaker:unit_cost_gbp,bom_source_field,source_required,assumption,DC contactor or breaker / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,energy_storage_source,dc_contactor_or_breaker,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_pump_station_thermal_management_loop:manufacturer,bom_source_field,source_required,assumption,Thermal management loop / manufacturer,manufacturer is required but not source-backed.,,,,,mass_fluid_transport_process,thermal_management_loop,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_pump_station_thermal_management_loop:mpn,bom_source_field,source_required,assumption,Thermal management loop / mpn,mpn is required but not source-backed.,,,,,mass_fluid_transport_process,thermal_management_loop,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_pump_station_thermal_management_loop:supplier,bom_source_field,source_required,assumption,Thermal management loop / supplier,supplier is required but not source-backed.,,,,,mass_fluid_transport_process,thermal_management_loop,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:mass_fluid_transport_process_pump_station_thermal_management_loop:unit_cost_gbp,bom_source_field,source_required,assumption,Thermal management loop / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,mass_fluid_transport_process,thermal_management_loop,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:safety_protection_fire_suppression_fire_detection_suppression:manufacturer,bom_source_field,source_required,assumption,Fire detection/suppression / manufacturer,manufacturer is required but not source-backed.,,,,,safety_protection,fire_detection_suppression,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:safety_protection_fire_suppression_fire_detection_suppression:mpn,bom_source_field,source_required,assumption,Fire detection/suppression / mpn,mpn is required but not source-backed.,,,,,safety_protection,fire_detection_suppression,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:safety_protection_fire_suppression_fire_detection_suppression:supplier,bom_source_field,source_required,assumption,Fire detection/suppression / supplier,supplier is required but not source-backed.,,,,,safety_protection,fire_detection_suppression,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:safety_protection_fire_suppression_fire_detection_suppression:unit_cost_gbp,bom_source_field,source_required,assumption,Fire detection/suppression / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,safety_protection,fire_detection_suppression,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
component_candidate:control_compute_communication_bms_master_bms_master_controller,component_candidate,source_required,generated_model,BMS master controller,BMS master controller is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,,,power_mw,control_compute_communication,bms_master_controller,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:energy_conversion_transduction_pcs_inverter_pcs_inverter,component_candidate,source_required,generated_model,PCS inverter,PCS inverter is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,,,capacity_mwh; power_mw,energy_conversion_transduction,pcs_inverter,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:energy_storage_source_cell_string_lfp_prismatic_cells,component_candidate,source_required,generated_model,LFP prismatic cells,LFP prismatic cells is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,,,capacity_mwh,energy_storage_source,lfp_prismatic_cells,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:energy_storage_source_dc_string_output_dc_contactor_or_breaker,component_candidate,source_required,generated_model,DC contactor or breaker,DC contactor or breaker is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,,,,energy_storage_source,dc_contactor_or_breaker,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
component_candidate:mass_fluid_transport_process_pump_station_thermal_management_loop,component_candidate,source_required,generated_model,Thermal management loop,Thermal management loop is an architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,,,,mass_fluid_transport_process,thermal_management_loop,true,true,"Admit source-backed supplier, manufacturer, MPN, unit cost and lead-time evidence through sourcing intake."
