id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
structure_containment:single_use_bag_chamber,structure_containment,Sterile Structure Containment,single_use_bag_chamber,Single-use bag chamber,review,yes,4,5,1,1,0,3,0,2,5,0,0,6,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): mechanical_mounts, service_access. 5 engineering review question(s) await acceptance. 5 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
structure_containment:support_frame_load_path,structure_containment,Sterile Structure Containment,support_frame_load_path,Support frame and load path,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): mechanical_mounts, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:sterile_connector_panel,structure_containment,Sterile Structure Containment,sterile_connector_panel,Sterile connector panel,review,yes,4,3,0,1,0,2,0,1,4,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): service_access. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
actuation_kinematics:agitation_drive_train,actuation_kinematics,Mixing And Agitation,agitation_drive_train,Agitation drive train,review,yes,4,3,1,1,0,1,0,2,3,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): mixing_drive, control_bus. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
actuation_kinematics:mixing_impeller_interface,actuation_kinematics,Mixing And Agitation,mixing_impeller_interface,Mixing impeller interface,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): mixing_drive, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
actuation_kinematics:agitation_safety_feedback,actuation_kinematics,Mixing And Agitation,agitation_safety_feedback,Agitation safety feedback,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): mixing_drive, sensor_bus, alarm_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
mass_fluid_transport_process:feed_pump_manifold,mass_fluid_transport_process,Media Gas And Harvest Transport,feed_pump_manifold,Feed pump manifold,review,yes,4,3,1,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): sensor_bus. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
mass_fluid_transport_process:harvest_sampling_path,mass_fluid_transport_process,Media Gas And Harvest Transport,harvest_sampling_path,Harvest and sampling path,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): service_access, sensor_bus. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
mass_fluid_transport_process:sparger_gas_mixing,mass_fluid_transport_process,Media Gas And Harvest Transport,sparger_gas_mixing,Sparger gas mixing,review,yes,4,3,0,1,0,2,0,1,4,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): control_bus. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
environmental_interface:temperature_control_loop,environmental_interface,Thermal Gas Exhaust Interface,temperature_control_loop,Temperature control loop,review,yes,4,3,1,1,0,0,0,3,2,0,0,3,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): thermal_loop, control_bus, sensor_bus. 2 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
environmental_interface:exhaust_filter_train,environmental_interface,Thermal Gas Exhaust Interface,exhaust_filter_train,Exhaust filter train,review,yes,4,4,0,1,0,1,0,3,3,0,0,3,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): exhaust_path, sterile_boundary, pressure_relief. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
environmental_interface:ambient_enclosure_conditions,environmental_interface,Thermal Gas Exhaust Interface,ambient_enclosure_conditions,Ambient enclosure conditions,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): service_access, sensor_bus, alarm_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
sensing_instrumentation:do_ph_sensing,sensing_instrumentation,Process Sensing Instrumentation,do_ph_sensing,DO and pH sensing,review,yes,4,2,0,2,0,1,0,1,3,0,0,3,0,0,2,0.6667,,Review 1 local-only interface declaration(s): sterile_fluid_path. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 2 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
sensing_instrumentation:pressure_mass_temperature_sensing,sensing_instrumentation,Process Sensing Instrumentation,pressure_mass_temperature_sensing,"Pressure, mass and temperature sensing",review,yes,4,4,0,1,0,1,0,3,3,0,0,3,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): thermal_loop, pressure_relief, mechanical_mounts. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
sensing_instrumentation:gas_flow_sensing,sensing_instrumentation,Process Sensing Instrumentation,gas_flow_sensing,Gas flow sensing,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): gas_path, exhaust_path. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
control_compute_communication:process_controller,control_compute_communication,Control Compute Communication,process_controller,Process controller,review,yes,4,4,0,1,0,2,0,2,4,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): control_bus, alarm_bus. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
control_compute_communication:batch_record_gateway,control_compute_communication,Control Compute Communication,batch_record_gateway,Batch record gateway,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): batch_record_network, service_port. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
control_compute_communication:operator_alarm_logic,control_compute_communication,Control Compute Communication,operator_alarm_logic,Operator and alarm logic,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): alarm_bus, control_bus, service_port. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:control_power_panel,power_distribution,Power Distribution,control_power_panel,Control power panel,review,yes,4,4,0,0,0,0,0,4,2,0,0,1,0,0,0,0.6667,,"Review 4 local-only interface declaration(s): mains_supply, protective_earth, control_bus, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:actuator_power_feeds,power_distribution,Power Distribution,actuator_power_feeds,Actuator power feeds,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): mains_supply, control_bus, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:backup_power_and_shutdown,power_distribution,Power Distribution,backup_power_and_shutdown,Backup power and shutdown,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): mains_supply, alarm_bus, control_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
safety_protection:sterile_pressure_safety,safety_protection,Aseptic And Pressure Safety,sterile_pressure_safety,Sterile pressure safety,review,yes,4,4,0,0,0,1,0,3,3,0,0,2,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): sterile_boundary, exhaust_path, alarm_bus. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
safety_protection:aseptic_setup_controls,safety_protection,Aseptic And Pressure Safety,aseptic_setup_controls,Aseptic setup controls,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): sterile_boundary, service_access, alarm_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
safety_protection:operator_electrical_safety,safety_protection,Aseptic And Pressure Safety,operator_electrical_safety,Operator electrical safety,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): protective_earth, mains_supply, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
