id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:capacity_mwh,brief_requirement,brief_supported,Energy capacity,"Energy capacity = 3.5 MWh is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",capacity_mwh,,,false,false
brief:power_mw,brief_requirement,brief_supported,Power rating,"Power rating = 1 MW is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",power_mw,,,false,false
brief:mass_kg,brief_requirement,brief_supported,Mass constraint,"Mass constraint = 28000 kg is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",mass_kg,,,false,false
metric:headline_output,derived_metric,review_required,Annual MWh delivered,Annual MWh delivered uses capacity_mwh * cycles_per_year * efficiency with medium confidence.,class_pack:energy_storage.class_pack; formula:capacity_mwh * cycles_per_year * efficiency,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,review_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:energy_storage.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,false
metric:opex_annual_gbp,derived_metric,review_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,false
sanity:bess_c_rate,sanity_envelope,review_required,BESS C-Rate,BESS C-Rate currently evaluates as pass against 0.1C to 1.0C for typical grid-storage duration systems.,brief:input.brief; formula:power_mw / capacity_mwh; model:engineering_sanity.energy_storage; model:engineering_sanity.energy_storage,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",capacity_mwh; power_mw,,,false,false
sanity:bess_duration,sanity_envelope,review_required,Rated Duration,Rated Duration currently evaluates as pass against 1 to 6 hours for common containerised BESS applications.,brief:input.brief; formula:capacity_mwh / power_mw; model:engineering_sanity.energy_storage; model:engineering_sanity.energy_storage,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",capacity_mwh; power_mw,,,false,false
sanity:bess_container_energy_density,sanity_envelope,review_required,Container-Level Energy Density,Container-Level Energy Density currently evaluates as pass against 50 to 200 Wh/kg at container/system level before detailed structural mass review.,brief:input.brief; formula:(capacity_mwh * 1000000) / mass_kg; model:engineering_sanity.energy_storage; model:engineering_sanity.energy_storage,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",capacity_mwh; mass_kg,,,false,false
interface:energy_storage_source:energy_conversion_transduction:dc_bus,interface_closure,model_present,energy_storage_source -> energy_conversion_transduction,dc_bus is named on both endpoint modules in the generated architecture.,Battery racks must feed the PCS over a declared DC bus.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,dc_bus,,false,false
interface:energy_storage_source:environmental_interface:thermal_loop,interface_closure,model_present,energy_storage_source -> environmental_interface,thermal_loop is named on both endpoint modules in the generated architecture.,Cell heat must be coupled to the thermal management loop.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,thermal_loop,,false,false
interface:energy_storage_source:control_compute_communication:bms_network,interface_closure,model_present,energy_storage_source -> control_compute_communication,bms_network is named on both endpoint modules in the generated architecture.,Cell/rack state must be visible to BMS and EMS supervision.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,bms_network,,false,false
component:energy_storage_source_cell_string_lfp_prismatic_cells,critical_component,model_present,LFP prismatic cells,LFP prismatic cells is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage; source:test-fixture://csv-sourcing/lfp_prismatic_cells,Review admitted source evidence and component identity before procurement.,,,lfp_prismatic_cells,false,false
component:energy_storage_source_dc_string_output_dc_contactor_or_breaker,critical_component,source_required,DC contactor or breaker,DC contactor or breaker is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,dc_contactor_or_breaker,false,true
component:energy_conversion_transduction_pcs_inverter_pcs_inverter,critical_component,source_required,PCS inverter,PCS inverter is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,pcs_inverter,false,true
component:control_compute_communication_bms_master_bms_master_controller,critical_component,source_required,BMS master controller,BMS master controller is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,bms_master_controller,false,true
component:safety_protection_fire_suppression_fire_detection_suppression,critical_component,source_required,Fire detection/suppression,Fire detection/suppression is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,fire_detection_suppression,false,true
component:mass_fluid_transport_process_pump_station_thermal_management_loop,critical_component,source_required,Thermal management loop,Thermal management loop is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.energy_storage,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,thermal_management_loop,false,true
compliance:IEC-62619,compliance_evidence,review_required,IEC-62619,Industrial lithium battery safety is relevant to this product class in Global / UK-adopted.,class_pack:energy_storage.class_pack,Cell certificates and pack-level safety validation.,,,,false,false
compliance:UL-9540A,compliance_evidence,review_required,UL-9540A,Thermal runaway fire propagation test is relevant to this product class in US / investor diligence.,class_pack:energy_storage.class_pack,"Cell, module and unit-level propagation evidence.",,,,false,false
compliance:G99,compliance_evidence,review_required,G99,UK grid connection requirements is relevant to this product class in UK.,class_pack:energy_storage.class_pack,"Protection settings, relay test certificates and commissioning records.",,,,false,false
